AR	T	P	ro	R
85	1176.86	0.172896	0.02493268176	589.248
84	1180.62	0.17561	0.02524340958	589.248
83	1184.44	0.1784	0.02556204547	589.248
82	1188.3	0.181268	0.02588849308	589.248
81	1192.23	0.184218	0.02622324901	589.248
80	1196.21	0.187254	0.02656663443	589.248
79	1200.26	0.190379	0.02691898731	589.248
78	1204.36	0.193597	0.02728066347	589.248
77	1208.53	0.196911	0.02765203782	589.248
76	1212.76	0.200327	0.02803350565	589.248
75	1217.05	0.203845	0.02842524161	589.248
74	1221.42	0.20748	0.02882849639	589.248
73	1225.86	0.211227	0.02924284428	589.248
72	1230.38	0.215094	0.02966910052	589.248
71	1234.96	0.219088	0.03010769523	589.248
70	1239.62	0.223214	0.0305593585	589.248
69	1244.37	0.227476	0.03102420198	589.248
68	1249.19	0.231886	0.03150340552	589.248
67	1254.1	0.236449	0.03199754259	589.248
66	1259.1	0.241172	0.03250711093	589.248
65	1264.2	0.246067	0.03303317191	589.249
64	1269.38	0.251137	0.03357608845	589.249
63	1274.66	0.256392	0.03413668328	589.249
62	1280.04	0.261845	0.03471607458	589.249
61	1285.53	0.267501	0.03531472483	589.249
60	1291.12	0.27338	0.03593451294	589.249
59	1296.82	0.27949	0.03657590964	589.249
58	1302.64	0.285844	0.03724034172	589.249
57	1308.59	0.292458	0.03792892877	589.249
56	1314.65	0.299345	0.03864301199	589.249
55	1320.85	0.306524	0.03938403371	589.249
54	1327.18	0.314011	0.04015354716	589.249
53	1333.65	0.321826	0.04095322732	589.249
52	1340.27	0.32999	0.04178470847	589.249
51	1347.04	0.338526	0.04265010705	589.249
50	1353.97	0.347459	0.04355154107	589.249
49	1361.07	0.356816	0.04449111068	589.249
48	1368.34	0.366626	0.04547128716	589.249
47	1375.79	0.376921	0.04649497622	589.249
46	1383.44	0.387737	0.04756491422	589.249
45	1391.28	0.399111	0.04868430661	589.249
44	1399.33	0.411088	0.04985641353	589.249
43	1407.6	0.423712	0.05108556833	589.25
42	1416.1	0.437036	0.05237576469	589.25
41	1424.85	0.451116	0.05373137536	589.25
40	1433.85	0.466016	0.05515750225	589.25
39	1443.12	0.481807	0.05666011298	589.25
38	1452.68	0.498565	0.05824518895	589.25
37	1462.54	0.516379	0.05991934856	589.251
36	1472.72	0.535347	0.06169107577	589.251
35	1483.24	0.555579	0.0635691537	589.251
34	1494.12	0.5772	0.06556173293	589.252
33	1505.39	0.60035	0.06768097894	589.252
32	1517.06	0.62519	0.06993838428	589.253
31	1529.18	0.651901	0.07234895347	589.253
30	1541.77	0.680694	0.07492713336	589.254
29	1554.86	0.711809	0.07769223	589.255
28	1568.5	0.745524	0.08066467694	589.256
27	1582.72	0.782163	0.08386799178	589.257
26	1597.58	0.822103	0.08733090553	589.258
25	1613.13	0.86579	0.09108463584	589.259
24	1629.43	0.913746	0.09516739946	589.261
23	1646.55	0.966599	0.09962540846	589.263
22	1664.58	1.0251	0.1045100256	589.266
21	1683.59	1.09015	0.1098863665	589.269
20	1703.7	1.16286	0.1158312339	589.272
19	1725.03	1.2446	0.1224390345	589.277
18	1747.71	1.33705	0.1298254497	589.282
17	1771.93	1.44236	0.1381349025	589.289
16	1797.88	1.56326	0.1475511671	589.298
15	1825.8	1.70327	0.1583049967	589.309
14	1855.99	1.86703	0.170699441	589.323
13	1888.8	2.06085	0.1851399288	589.341
12	1924.69	2.29322	0.2021655979	589.365
11	1964.23	2.5762	0.2225278271	589.397
10	2008.17	2.92726	0.2473031591	589.441
9	2057.52	3.37294	0.2780906297	589.502
8	2113.54	3.95351	0.3172689489	589.591
7	2178.17	4.7371	0.3687900368	589.721
6	2254.19	5.84356	0.4394368178	589.923
5	2345.95	7.50495	0.5419966071	590.251
4	2460.86	10.2311	0.703695103	590.819
3	2613.24	15.3806	0.9943619676	591.904
2	2838.66	28.059	1.663110382	594.348
1	3406.58	125.981	6.110788597	605.189
